Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio
383,"[18.92, 72.87]",0,0,0.0,0.0
384,"[18.93, 72.87]",0,0,0.0,0.0
385,"[18.94, 72.87]",0,0,0.0,0.0
386,"[18.95, 72.87]",0,0,0.0,0.0
387,"[18.96, 72.87]",0,0,0.0,0.0
388,"[18.97, 72.87]",0,0,0.0,0.0
389,"[18.98, 72.87]",0,0,0.0,0.1776
390,"[18.99, 72.87]",0,0,1124.5286,0.4808
391,"[19.0, 72.87]",0,0,0.0,0.118
392,"[19.01, 72.87]",7,3,6758.046,0.3406
393,"[19.02, 72.87]",27,7,12052.32,0.4542
394,"[19.03, 72.87]",64,40,16932.918,0.5582
395,"[19.04, 72.87]",67,9,15306.5731,0.4531
396,"[19.05, 72.87]",72,4,16388.9057,0.5336
397,"[19.06, 72.87]",69,17,14094.5255,0.5083
398,"[19.07, 72.87]",103,25,21536.8782,0.515
399,"[19.08, 72.87]",11,1,4122.7453,0.2563
400,"[19.09, 72.87]",7,3,4493.8123,0.3197
401,"[19.1, 72.87]",74,17,20381.2504,0.5186
402,"[19.11, 72.87]",60,10,14078.7787,0.4853
403,"[19.12, 72.87]",62,11,16058.4828,0.4798
404,"[19.13, 72.87]",20,8,9199.36,0.474
405,"[19.14, 72.87]",12,1,5997.5933,0.498
406,"[19.15, 72.87]",15,1,6815.084,0.5079
407,"[19.16, 72.87]",30,0,7580.6836,0.4603
408,"[19.17, 72.87]",76,27,16652.2749,0.5985
409,"[19.18, 72.87]",13,1,5348.7039,0.3854
410,"[19.19, 72.87]",46,5,12081.4537,0.5987
411,"[19.2, 72.87]",66,2,13335.3185,0.5776
412,"[19.21, 72.87]",44,5,9169.5757,0.5614
413,"[19.22, 72.87]",9,0,4786.7246,0.4267
414,"[19.23, 72.87]",14,0,6110.2136,0.3507
415,"[19.24, 72.87]",17,3,4521.6872,0.4737
416,"[19.25, 72.87]",38,3,8725.3559,0.5727
417,"[19.26, 72.87]",53,9,16272.8722,0.5485
418,"[18.89, 72.88]",0,0,0.0,0.0
419,"[18.9, 72.88]",0,0,0.0,0.0
420,"[18.91, 72.88]",0,0,0.0,0.0
421,"[18.92, 72.88]",0,0,0.0,0.0
422,"[18.93, 72.88]",0,0,0.0,0.0
423,"[18.94, 72.88]",0,0,0.0,0.0
424,"[18.95, 72.88]",0,0,0.0,0.1549
425,"[18.96, 72.88]",0,0,0.0,0.1822
426,"[18.97, 72.88]",0,0,0.0,0.1356
427,"[18.98, 72.88]",0,0,0.0,0.101
428,"[18.99, 72.88]",0,0,1132.0544,0.3358
429,"[19.0, 72.88]",0,0,0.0,0.1571
430,"[19.01, 72.88]",2,1,1602.5895,0.5362
431,"[19.02, 72.88]",31,5,8302.7004,0.2803
432,"[19.03, 72.88]",25,1,8106.2906,0.4355
433,"[19.04, 72.88]",18,3,7326.8655,0.4065
434,"[19.05, 72.88]",74,15,19382.584,0.5431
435,"[19.06, 72.88]",96,17,21215.2016,0.4961
436,"[19.07, 72.88]",65,12,15176.3109,0.4976
437,"[19.08, 72.88]",81,11,16317.8541,0.6233
438,"[19.09, 72.88]",76,11,14512.6982,0.5852
439,"[19.1, 72.88]",79,10,17357.4125,0.5671
440,"[19.11, 72.88]",60,6,13692.9429,0.4662
441,"[19.12, 72.88]",46,5,13624.3778,0.3457
442,"[19.13, 72.88]",21,1,5892.7018,0.5313
443,"[19.14, 72.88]",12,1,4939.5531,0.4723
444,"[19.15, 72.88]",40,7,12651.5157,0.4103
445,"[19.16, 72.88]",20,3,7240.8789,0.5017
446,"[19.17, 72.88]",27,8,5600.5217,0.4173
447,"[19.18, 72.88]",0,0,1288.6256,0.3537
448,"[19.19, 72.88]",3,0,1857.3261,0.3589
449,"[19.2, 72.88]",1,0,223.5234,0.1948
450,"[19.21, 72.88]",0,0,1576.7909,0.3342
451,"[19.22, 72.88]",4,0,3254.3318,0.5417
452,"[19.23, 72.88]",3,0,1780.2987,0.345
453,"[19.24, 72.88]",0,0,905.045,0.4907
454,"[19.25, 72.88]",0,0,0.0,0.1116
455,"[19.26, 72.88]",16,0,4700.0837,0.2038
456,"[18.89, 72.89]",0,0,0.0,0.1596
457,"[18.9, 72.89]",0,0,0.0,0.076
458,"[18.91, 72.89]",0,0,0.0,0.1803
459,"[18.92, 72.89]",0,0,0.0,0.1292
460,"[18.93, 72.89]",0,0,0.0,0.0
461,"[18.94, 72.89]",0,0,0.0,0.2106
462,"[18.95, 72.89]",0,0,0.0,0.2799
463,"[18.96, 72.89]",0,0,19.4131,0.3964
464,"[18.97, 72.89]",0,0,0.0,0.1381
465,"[18.98, 72.89]",0,0,0.0,0.1899
466,"[18.99, 72.89]",6,1,2760.528,0.5133
467,"[19.0, 72.89]",33,2,9546.9755,0.3954
468,"[19.01, 72.89]",44,1,12549.8927,0.5293
469,"[19.02, 72.89]",39,10,13303.6713,0.5115
470,"[19.03, 72.89]",35,5,14330.3046,0.4395
471,"[19.04, 72.89]",69,7,13810.0966,0.5538
472,"[19.05, 72.89]",78,19,16986.2546,0.5977
473,"[19.06, 72.89]",122,20,29310.326,0.4927
474,"[19.07, 72.89]",27,7,9901.1305,0.3587
475,"[19.08, 72.89]",52,8,15705.9156,0.4456
