Grid_number,Grid_coordinates,Three_ways,Four_ways,Road_length,Walkability_ratio,District_name,Grid_type,Urban_percentage,Periurban_percentage,Rural_percentage,Class_label
41,"[12.98, 80.18]",147,31,24452.3114,0.6394,Chennai,Rejected,0.0,0.0,0.0,0.0
42,"[12.99, 80.18]",55,7,13618.4788,0.2625,Chennai,Rejected,0.0,0.0,0.00073,0.0
43,"[13.0, 80.18]",15,2,5685.1269999999995,0.3914,Chennai,Rejected,0.0,0.0,0.164354,0.0
44,"[13.01, 80.18]",76,20,15073.9448,0.5383,Chennai,Rural,0.0,0.0,0.606282,0.0
45,"[13.02, 80.18]",105,19,19061.1121,0.5454,Chennai,PeriUrban,0.013147999999999998,0.7063550000000001,0.280497,1.0
46,"[13.03, 80.18]",220,25,26849.041,0.6299,Chennai,Urban,0.794741,0.20525900000000002,0.0,5.0
47,"[13.04, 80.18]",202,41,27693.6142,0.6452,Chennai,PeriUrban,0.27169299999999996,0.7283069999999999,0.0,2.0
48,"[13.05, 80.18]",242,41,31723.5855,0.5871,Chennai,Urban,0.996348,0.0036520000000000003,0.0,5.0
49,"[13.06, 80.18]",186,29,26134.0942,0.5741,Chennai,Urban,0.693937,0.295106,0.0,3.0
50,"[13.07, 80.18]",148,27,25545.16,0.5472,Chennai,PeriUrban,0.043097,0.715121,0.025566,1.0
51,"[13.08, 80.18]",217,43,31902.0168,0.626,Chennai,PeriUrban,0.341855,0.430241,0.032871,3.0
52,"[13.09, 80.18]",149,20,23310.8318,0.6232,Chennai,PeriUrban,0.116874,0.466764,0.029949,2.0
53,"[13.1, 80.18]",105,18,20452.8622,0.5057,Chennai,Rejected,0.0,0.067202,0.018262,0.0
54,"[13.11, 80.18]",127,15,19721.141,0.5236,Chennai,Rejected,0.0,0.0,0.005113,0.0
55,"[13.12, 80.18]",24,3,6452.5899,0.2092,Chennai,Rejected,0.0,0.0,0.0,0.0
56,"[13.13, 80.18]",24,5,10833.7339,0.3,Chennai,Rejected,0.0,0.0,0.0,0.0
57,"[12.95, 80.19]",164,30,26549.7527,0.5175,Chennai,Rejected,0.0,0.0,0.0,0.0
58,"[12.96, 80.19]",183,19,24975.3073,0.6605,Chennai,PeriUrban,0.0,0.547115,0.065741,2.0
59,"[12.97, 80.19]",188,39,27487.8205,0.6225,Chennai,PeriUrban,0.036523,0.640614,0.042367,2.0
60,"[12.98, 80.19]",178,37,27990.2095,0.6393,Chennai,Rejected,0.010957,0.297297,0.0,0.0
61,"[12.99, 80.19]",138,18,21927.467999999997,0.4849,Chennai,Rejected,0.0,0.167275,0.227173,0.0
62,"[13.0, 80.19]",75,13,15089.0285,0.5614,Chennai,Rural,0.0,0.219869,0.7355729999999999,0.0
